Offer                                        Publisher    Sku                           Urn                                                                                          Version
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106220          21.04.202106220
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202106290          21.04.202106290
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202107050          21.04.202107050
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202107070          21.04.202107070
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202107100          21.04.202107100
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202107160          21.04.202107160
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202107200          21.04.202107200
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202108030          21.04.202108030
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202106100     21.04.202106100
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202106110     21.04.202106110
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202106150     21.04.202106150
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202106170     21.04.202106170
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202106220     21.04.202106220
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202106290     21.04.202106290
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202107050     21.04.202107050
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202107070     21.04.202107070
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202107100     21.04.202107100
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202107160     21.04.202107160
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202107200     21.04.202107200
0001-com-ubuntu-minimal-hirsute-daily        Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202108030     21.04.202108030
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202107230           21.10.202107230
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202107240           21.10.202107240
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202107270           21.10.202107270
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202107280           21.10.202107280
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202107310           21.10.202107310
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202108010           21.10.202108010
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202108030           21.10.202108030
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202107230      21.10.202107230
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202107240      21.10.202107240
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202107270      21.10.202107270
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202107280      21.10.202107280
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202107310      21.10.202107310
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202108010      21.10.202108010
0001-com-ubuntu-minimal-impish-daily         Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202108030      21.10.202108030
0001-com-ubuntu-private-fips-motorola        Canonical    private-fips-20_04            Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04:20.04.202104090           20.04.202104090
0001-com-ubuntu-private-fips-motorola        Canonical    private-fips-20_04            Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04:20.04.202105180           20.04.202105180
0001-com-ubuntu-private-fips-motorola        Canonical    private-fips-20_04-gen2       Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04-gen2:20.04.202105180      20.04.202105180
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200319                              16.04.20200319
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200602                              16.04.20200602
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200729                              16.04.20200729
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200908                              16.04.20200908
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20201014                              16.04.20201014
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202101190                             16.04.202101190
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202103100                             16.04.202103100
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202104160                             16.04.202104160
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202104290                             16.04.202104290
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202106110                             16.04.202106110
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202106230                             16.04.202106230
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202104290                        16.04.202104290
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202106110                        16.04.202106110
0001-com-ubuntu-pro-advanced-sla             Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202106230                        16.04.202106230
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200318                              18.04.20200318
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200605                              18.04.20200605
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200729                              18.04.20200729
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200908                              18.04.20200908
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20201014                              18.04.20201014
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202101191                             18.04.202101191
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202103160                             18.04.202103160
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202103250                             18.04.202103250
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202104150                             18.04.202104150
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202105080                             18.04.202105080
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202106090                             18.04.202106090
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202106220                             18.04.202106220
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202107160                             18.04.202107160
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202107200                             18.04.202107200
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202105080                        18.04.202105080
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202106090                        18.04.202106090
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202106220                        18.04.202106220
0001-com-ubuntu-pro-advanced-sla             Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:18_04-gen2:18.04.202107160                        18.04.202107160
